,File Names,Therm Cond.,SiO2,ß-SiC,seg-Carbon
0,M6LJOC.npy,2.46,0.05,0.004768,0.945232
1,YV6EHV.npy,2.47,0.049999,0.010761,0.93924
2,UD6BZ3.npy,2.49,0.05,0.018233,0.931767
3,E67POQ.npy,2.5,0.049998,0.027325,0.922677
4,WKQU5T.npy,2.52,0.049999,0.039157,0.910844
5,9VX7QT.npy,2.54,0.05,0.053427,0.896573
6,73JPDB.npy,2.58,0.05,0.072642,0.877358
7,V87SCP.npy,2.62,0.050001,0.097442,0.852557
8,ZRVL32.npy,2.69,0.050003,0.132497,0.8175
9,O01PFE.npy,2.77,0.05,0.173494,0.776506
10,1XXRLM.npy,2.87,0.049999,0.226322,0.723679
11,TGBXV9.npy,3.0,0.049999,0.286398,0.663603
12,GSEIMW.npy,3.15,0.050003,0.357198,0.592799
13,K5J83Y.npy,3.33,0.050002,0.434232,0.515766
14,0CGSUI.npy,3.52,0.050003,0.513875,0.436122
15,2D72ZU.npy,3.73,0.049996,0.596141,0.353863
16,TUUJYH.npy,3.96,0.05,0.683306,0.266694
17,LS3GX8.npy,4.21,0.049986,0.771244,0.17877
18,K8RMJ2.npy,4.48,0.050002,0.859856,0.090142
19,0JS34R.npy,2.43,0.099999,0.008589,0.891412
20,TK2R9L.npy,2.44,0.1,0.018755,0.881245
21,WWF22P.npy,2.46,0.099999,0.031588,0.868413
22,XWV7AP.npy,2.49,0.1,0.046046,0.853954
23,H83AKI.npy,2.52,0.100007,0.063343,0.83665
24,VSYZF4.npy,2.55,0.100002,0.083527,0.816471
25,E5EBNO.npy,2.6,0.100004,0.10942,0.790576
26,QG9NUB.npy,2.65,0.099999,0.138512,0.761489
27,BHZG27.npy,2.72,0.099997,0.175388,0.724615
28,TIZM8P.npy,2.8,0.1,0.215002,0.684998
29,19RDBL.npy,2.9,0.100004,0.264576,0.63542
30,E1WKOD.npy,3.01,0.100006,0.316957,0.583037
31,A7TLSB.npy,3.15,0.099998,0.378736,0.521266
32,PC8AZA.npy,3.3,0.099995,0.444294,0.455711
33,I59614.npy,3.46,0.099994,0.513011,0.386995
34,93LOD5.npy,3.64,0.100001,0.584423,0.315576
35,P3JP72.npy,3.84,0.099998,0.661793,0.238209
36,USBH45.npy,4.05,0.100006,0.739303,0.160691
37,GV7SIJ.npy,4.28,0.100002,0.818665,0.081333
38,RG748E.npy,2.39,0.149997,0.011572,0.838431
39,AZRW7X.npy,2.41,0.150003,0.024884,0.825113
40,V1XKB4.npy,2.44,0.150001,0.041402,0.808597
41,CU52A2.npy,2.47,0.150002,0.059026,0.790972
42,H6Z0WP.npy,2.5,0.150001,0.078884,0.771115
43,LICOGA.npy,2.54,0.150011,0.102822,0.747167
44,2OFL5E.npy,2.59,0.149994,0.130854,0.719152
45,1E585M.npy,2.65,0.149999,0.160852,0.689149
46,6GQ7D6.npy,2.72,0.150003,0.198568,0.651429
47,PYLUK8.npy,2.79,0.149998,0.236123,0.613879
48,F7J1WZ.npy,2.89,0.150003,0.281609,0.568388
49,BPNVPK.npy,2.99,0.150018,0.33054,0.519442
50,ROP21I.npy,3.11,0.150004,0.384911,0.465085
51,3PIVMD.npy,3.24,0.149996,0.44311,0.406894
52,2NAG8E.npy,3.38,0.149997,0.504346,0.345657
53,LKYHVJ.npy,3.54,0.149988,0.567584,0.282428
54,2ZJJXV.npy,3.71,0.149999,0.636411,0.21359
55,8MMFO1.npy,3.9,0.150015,0.705656,0.144329
56,7WEDCO.npy,4.1,0.149999,0.776656,0.073345
57,YIORCG.npy,2.35,0.200004,0.014017,0.785979
58,CN3M39.npy,2.38,0.200001,0.029335,0.770664
59,6DQPBY.npy,2.41,0.200001,0.048194,0.751805
60,LH3EUD.npy,2.44,0.200001,0.067261,0.732738
61,7KBH9I.npy,2.48,0.199997,0.089622,0.710381
62,D3FNIM.npy,2.52,0.200003,0.114741,0.685256
63,NB5PLQ.npy,2.57,0.199997,0.143713,0.65629
64,ER1LKR.npy,2.63,0.200002,0.173445,0.626553
65,F93XZF.npy,2.7,0.199999,0.210528,0.589473
66,WA00AE.npy,2.77,0.199996,0.246417,0.553587
67,EU1J2N.npy,2.85,0.200013,0.288948,0.511039
68,I1HAJL.npy,2.94,0.200018,0.333153,0.466829
69,5TKIZ8.npy,3.05,0.199984,0.382707,0.417309
70,630UV7.npy,3.17,0.200003,0.434441,0.365556
71,7G0R8O.npy,3.29,0.199995,0.490131,0.309874
72,DEVVGX.npy,3.43,0.199997,0.545822,0.254181
73,Y1ZRV6.npy,3.58,0.200028,0.608006,0.191966
74,OJFOP2.npy,3.74,0.199991,0.669978,0.130031
75,LIAZTV.npy,3.91,0.200004,0.733846,0.06615
76,5NR789.npy,2.31,0.249978,0.015828,0.734194
77,TPI8BA.npy,2.34,0.249999,0.03238,0.717621
78,N453Z4.npy,2.37,0.249997,0.052395,0.697608
79,5O311S.npy,2.41,0.250004,0.073447,0.676549
