,File Names,Effective Thermal Cond
0,M6LJOC.npy,2.46
1,YV6EHV.npy,2.47
2,UD6BZ3.npy,2.49
3,E67POQ.npy,2.5
4,WKQU5T.npy,2.52
5,9VX7QT.npy,2.54
6,73JPDB.npy,2.58
7,V87SCP.npy,2.62
8,ZRVL32.npy,2.69
9,O01PFE.npy,2.77
10,1XXRLM.npy,2.87
11,TGBXV9.npy,3.0
12,GSEIMW.npy,3.15
13,K5J83Y.npy,3.33
14,0CGSUI.npy,3.52
15,2D72ZU.npy,3.73
16,TUUJYH.npy,3.96
17,LS3GX8.npy,4.21
18,K8RMJ2.npy,4.48
19,0JS34R.npy,2.43
20,TK2R9L.npy,2.44
21,WWF22P.npy,2.46
22,XWV7AP.npy,2.49
23,H83AKI.npy,2.52
24,VSYZF4.npy,2.55
25,E5EBNO.npy,2.6
26,QG9NUB.npy,2.65
27,BHZG27.npy,2.72
28,TIZM8P.npy,2.8
29,19RDBL.npy,2.9
30,E1WKOD.npy,3.01
31,A7TLSB.npy,3.15
32,PC8AZA.npy,3.3
33,I59614.npy,3.46
34,93LOD5.npy,3.64
35,P3JP72.npy,3.84
36,USBH45.npy,4.05
37,GV7SIJ.npy,4.28
38,RG748E.npy,2.39
39,AZRW7X.npy,2.41
40,V1XKB4.npy,2.44
41,CU52A2.npy,2.47
42,H6Z0WP.npy,2.5
43,LICOGA.npy,2.54
44,2OFL5E.npy,2.59
45,1E585M.npy,2.65
46,6GQ7D6.npy,2.72
47,PYLUK8.npy,2.79
48,F7J1WZ.npy,2.89
49,BPNVPK.npy,2.99
50,ROP21I.npy,3.11
51,3PIVMD.npy,3.24
52,2NAG8E.npy,3.38
53,LKYHVJ.npy,3.54
54,2ZJJXV.npy,3.71
55,8MMFO1.npy,3.9
56,7WEDCO.npy,4.1
57,YIORCG.npy,2.35
58,CN3M39.npy,2.38
59,6DQPBY.npy,2.41
60,LH3EUD.npy,2.44
61,7KBH9I.npy,2.48
62,D3FNIM.npy,2.52
63,NB5PLQ.npy,2.57
64,ER1LKR.npy,2.63
65,F93XZF.npy,2.7
66,WA00AE.npy,2.77
67,EU1J2N.npy,2.85
68,I1HAJL.npy,2.94
69,5TKIZ8.npy,3.05
70,630UV7.npy,3.17
71,7G0R8O.npy,3.29
72,DEVVGX.npy,3.43
73,Y1ZRV6.npy,3.58
74,OJFOP2.npy,3.74
75,LIAZTV.npy,3.91
76,5NR789.npy,2.31
77,TPI8BA.npy,2.34
78,N453Z4.npy,2.37
79,5O311S.npy,2.41
80,O7YHDJ.npy,2.45
81,QVJIB4.npy,2.49
82,PC6JFM.npy,2.54
83,TCPT8H.npy,2.6
84,YF0LRS.npy,2.66
85,54XXZC.npy,2.73
86,44HPN1.npy,2.8
87,5NPYKH.npy,2.89
88,2KTQK0.npy,2.98
89,89LJ59.npy,3.09
90,RBRQXD.npy,3.2
91,1KKKZX.npy,3.32
92,SDPECP.npy,3.45
93,BIORF0.npy,3.59
94,CQ2YLR.npy,3.74
95,B4NXFC.npy,2.27
96,YFRITY.npy,2.3
97,43J5WA.npy,2.34
98,SG4HYI.npy,2.37
99,70ADJO.npy,2.41
100,S7NY9M.npy,2.45
101,MFS52T.npy,2.5
102,TR99ZE.npy,2.56
103,L11OOH.npy,2.62
104,EL1JU5.npy,2.68
105,CXNMBN.npy,2.75
106,CPQVJ2.npy,2.82
107,C6IRQP.npy,2.91
108,7RRYOJ.npy,3.0
109,3D4STB.npy,3.1
110,OHMYQC.npy,3.2
111,03V8QP.npy,3.32
112,267LG3.npy,3.44
113,LOHJBZ.npy,3.57
114,GY1HUA.npy,2.23
115,UAMQ72.npy,2.26
116,4VRZLI.npy,2.3
117,DAHAR2.npy,2.33
118,GPDTMF.npy,2.37
119,Z2ULS5.npy,2.41
120,VCR2PK.npy,2.46
121,6HRLGE.npy,2.51
122,5JR6A3.npy,2.56
123,9NUSEB.npy,2.62
124,LERQQ5.npy,2.69
125,V3PH1O.npy,2.75
126,Y48L23.npy,2.83
127,21BU9Q.npy,2.91
128,3H6KGV.npy,3.0
129,XH2QS0.npy,3.09
130,VIA22T.npy,3.19
131,LWZFDI.npy,3.29
132,1STOG8.npy,3.4
133,AMOOZF.npy,2.2
134,2WZCCV.npy,2.22
135,92U073.npy,2.26
136,DPEY3M.npy,2.29
137,1MIQYP.npy,2.33
138,YT70YX.npy,2.37
139,PMUWZB.npy,2.41
140,F8LVAE.npy,2.46
141,UWXVB7.npy,2.51
142,ABGK7G.npy,2.56
143,2HE0VW.npy,2.62
144,3MQW4G.npy,2.68
145,M48YQ8.npy,2.75
146,M9YE9G.npy,2.82
147,4QN9MR.npy,2.89
148,4PKMR6.npy,2.97
149,U2ICQV.npy,3.06
150,757H39.npy,3.15
151,BQ467O.npy,3.24
152,73VX83.npy,2.16
153,H5YVGK.npy,2.19
154,4RTGTO.npy,2.22
155,SSTVTN.npy,2.25
156,V5TLTA.npy,2.28
157,11I2LY.npy,2.32
158,2W8N87.npy,2.36
159,3826QX.npy,2.4
160,VA69ZO.npy,2.45
161,CLE2M9.npy,2.5
162,MK0PYE.npy,2.55
163,GCYVEU.npy,2.6
164,WGZ7PE.npy,2.66
165,00262A.npy,2.72
166,PXZZ44.npy,2.79
167,7687OY.npy,2.86
168,HBOKXE.npy,2.93
169,8XYQ01.npy,3.01
170,FGEFGS.npy,3.09
171,IKBGYR.npy,2.12
172,DRJ4CT.npy,2.15
173,7WLSTR.npy,2.18
174,5SE99G.npy,2.21
175,AN50RP.npy,2.24
176,I5WFZ9.npy,2.27
177,S4PDCH.npy,2.31
178,2BAND6.npy,2.35
179,4ZLTPZ.npy,2.39
180,QGMXFT.npy,2.43
181,YNNWWI.npy,2.48
182,5KW75B.npy,2.52
183,WT50XA.npy,2.58
184,2NVBQ9.npy,2.63
185,AEWGQW.npy,2.68
186,CBT8OY.npy,2.74
187,PFHYLE.npy,2.81
188,OD8TGE.npy,2.87
189,QUSZ2X.npy,2.94
190,QM5ZDX.npy,2.08
191,5DL146.npy,2.11
192,KIXDCD.npy,2.13
193,PIUTRB.npy,2.16
194,ELJ6G2.npy,2.19
195,SP7VLY.npy,2.22
196,9INEBU.npy,2.26
197,3IW8AA.npy,2.29
198,6RA5PZ.npy,2.33
199,DLFYIQ.npy,2.36
200,SMNVAQ.npy,2.4
201,0ZIGJ0.npy,2.44
202,WZGJY9.npy,2.49
203,LUNKR4.npy,2.53
204,2ZFAXX.npy,2.58
205,ENZLQN.npy,2.63
206,2I0MCX.npy,2.68
207,Q5Z7D0.npy,2.74
208,39C3ZQ.npy,2.8
209,TNAGCS.npy,2.04
210,HR6VOM.npy,2.07
211,UHD6K1.npy,2.09
212,M2FH94.npy,2.12
213,9W04WO.npy,2.14
214,8SNYWO.npy,2.17
215,181VI8.npy,2.2
216,3VU5RP.npy,2.23
217,9GHVGT.npy,2.26
218,EC52FD.npy,2.29
219,PZKNPE.npy,2.33
220,O49B1L.npy,2.36
221,SOW7ES.npy,2.4
222,XXO3ZU.npy,2.44
223,8C62AK.npy,2.48
224,8MURJE.npy,2.52
225,6PT3ZT.npy,2.57
226,FXPF8F.npy,2.61
227,ANNTOQ.npy,2.66
228,WRF555.npy,2.0
229,0R6P8Q.npy,2.03
